               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11525,            0.030146,            0.039339,           0.0017074,             0.33838,           0.0023097,          0.00048765,            0.088672,            0.039706,            0.034454,              0.0919,              0.0009,              0.0009
                   1,            0.086504,            0.035485,            0.029172,             0.75333,             0.14478,             0.10209,            0.026988,            0.064677,             0.04043,            0.020964,            0.082891,           0.0018906,           0.0018906
                   2,            0.072084,            0.033631,            0.020156,             0.61795,             0.33754,              0.1607,            0.044504,            0.062923,            0.031958,            0.017585,            0.073871,           0.0028713,           0.0028713
                   3,            0.070436,            0.025709,             0.01558,             0.79574,             0.24579,             0.20904,            0.066065,            0.062993,            0.026314,             0.01612,            0.064842,           0.0038421,           0.0038421
                   4,            0.073076,            0.022334,             0.01675,             0.74124,             0.10438,              0.2459,            0.077505,            0.086911,            0.019162,            0.016001,            0.055803,            0.004803,            0.004803
                   5,            0.076814,            0.022085,            0.018244,             0.69075,             0.20202,             0.03104,           0.0087105,            0.084846,             0.01977,            0.015269,            0.046754,            0.005754,            0.005754
                   6,            0.071847,            0.020903,            0.015587,             0.73092,             0.27946,             0.14098,             0.03792,            0.075608,            0.021486,            0.014655,            0.037695,           0.0066951,           0.0066951
                   7,            0.070267,            0.018834,            0.014535,             0.71528,             0.25926,            0.092719,            0.033341,            0.079414,            0.024036,            0.013976,            0.028626,           0.0076263,           0.0076263
                   8,            0.068116,            0.018691,            0.014858,             0.82668,             0.23906,             0.28999,            0.096931,            0.062814,            0.017399,            0.012813,            0.019548,           0.0085476,           0.0085476
                   9,            0.060769,            0.019383,            0.012976,             0.80783,             0.21549,             0.24631,            0.095775,            0.059217,            0.019225,            0.011643,            0.010459,            0.009459,            0.009459
                  10,            0.053394,            0.018209,            0.015528,             0.58295,              0.4899,             0.45312,             0.19495,            0.059639,            0.020929,            0.011638,            0.009505,            0.009505,            0.009505
                  11,             0.05026,             0.01672,            0.013614,             0.54939,             0.51407,             0.62232,             0.24108,            0.053103,            0.021499,            0.011416,            0.009505,            0.009505,            0.009505
                  12,            0.050822,             0.01583,            0.011778,             0.61408,             0.28788,             0.26615,            0.068046,             0.07179,            0.019247,            0.010465,           0.0094555,           0.0094555,           0.0094555
                  13,            0.050774,            0.015797,            0.011232,             0.83965,             0.39731,             0.56679,             0.14301,            0.054813,            0.020813,            0.010377,            0.009406,            0.009406,            0.009406
                  14,            0.044919,            0.016073,            0.010028,             0.82552,             0.40741,             0.71952,             0.24603,            0.056589,            0.019763,           0.0089716,           0.0093565,           0.0093565,           0.0093565
                  15,            0.041731,            0.016103,           0.0090835,             0.62789,             0.72183,             0.84937,             0.44895,            0.038913,             0.01723,           0.0068643,            0.009307,            0.009307,            0.009307
                  16,            0.043574,            0.014908,           0.0073667,             0.53027,              0.4285,             0.41031,             0.15352,            0.058734,             0.01734,           0.0087911,           0.0092575,           0.0092575,           0.0092575
                  17,            0.042549,            0.014901,           0.0084409,             0.77565,             0.56137,             0.64733,             0.33191,            0.043347,            0.017425,            0.009627,            0.009208,            0.009208,            0.009208
                  18,            0.036919,            0.014307,           0.0094771,             0.64981,             0.74832,             0.66748,             0.32786,            0.040365,             0.01711,           0.0074961,           0.0091585,           0.0091585,           0.0091585
                  19,            0.038115,            0.015504,           0.0074957,             0.73436,             0.60269,             0.58056,             0.21828,            0.043314,            0.018047,            0.010932,            0.009109,            0.009109,            0.009109
                  20,            0.035758,            0.014896,           0.0071406,              0.7479,             0.77715,              0.8177,             0.43721,            0.036265,             0.01545,           0.0075035,           0.0090595,           0.0090595,           0.0090595
                  21,            0.037007,            0.014769,           0.0052257,              0.7325,              0.8279,             0.80645,              0.3808,            0.045028,            0.016125,           0.0062796,             0.00901,             0.00901,             0.00901
                  22,            0.035487,            0.013104,           0.0054963,             0.62296,             0.60849,             0.65571,             0.35945,            0.035903,            0.016828,             0.01236,           0.0089605,           0.0089605,           0.0089605
                  23,            0.033235,            0.013538,           0.0050892,              0.7271,             0.54991,             0.60685,             0.33483,            0.037073,            0.017024,            0.013961,            0.008911,            0.008911,            0.008911
                  24,             0.03522,            0.013882,           0.0049627,              0.6556,             0.64887,             0.64378,             0.24519,            0.039607,            0.014811,            0.011371,           0.0088615,           0.0088615,           0.0088615
                  25,             0.03477,             0.01394,            0.004949,              0.7394,             0.78213,             0.77012,             0.38488,            0.034893,            0.015566,           0.0069628,            0.008812,            0.008812,            0.008812
                  26,            0.033938,            0.013227,           0.0045332,             0.78342,             0.82687,             0.85831,             0.46696,             0.03599,            0.015655,           0.0074844,           0.0087625,           0.0087625,           0.0087625
                  27,            0.034461,            0.013465,             0.00358,             0.78845,             0.82984,             0.85987,             0.48515,            0.032362,            0.015256,           0.0050298,            0.008713,            0.008713,            0.008713
                  28,            0.030885,            0.013059,           0.0036399,             0.85077,             0.83014,             0.90694,             0.48251,            0.031917,            0.015024,           0.0058257,           0.0086635,           0.0086635,           0.0086635
                  29,            0.033951,            0.012934,           0.0037031,             0.59168,             0.77261,             0.67842,             0.33859,            0.035303,            0.014856,           0.0077583,            0.008614,            0.008614,            0.008614
                  30,            0.031024,            0.012713,           0.0033392,             0.76012,              0.7823,              0.7961,             0.38668,            0.033183,            0.014789,           0.0068128,           0.0085645,           0.0085645,           0.0085645
                  31,            0.032617,            0.013291,           0.0036989,             0.85161,             0.72163,             0.82058,             0.45623,            0.032282,            0.015145,            0.007893,            0.008515,            0.008515,            0.008515
                  32,            0.031205,            0.013249,           0.0034216,             0.75198,             0.71992,             0.80395,              0.4261,            0.032868,             0.01488,           0.0072779,           0.0084655,           0.0084655,           0.0084655
                  33,            0.032047,            0.012453,           0.0036978,             0.77572,             0.79049,              0.8735,             0.48947,            0.032917,             0.01553,            0.004879,            0.008416,            0.008416,            0.008416
                  34,            0.032206,            0.013463,           0.0041167,             0.63855,             0.83945,             0.72695,             0.38916,            0.035485,            0.015637,            0.009226,           0.0083665,           0.0083665,           0.0083665
                  35,            0.031129,            0.013179,           0.0056969,             0.76727,             0.96633,             0.89183,             0.51267,            0.033942,            0.015096,           0.0052181,            0.008317,            0.008317,            0.008317
                  36,            0.028764,            0.012622,            0.004086,             0.81946,             0.78661,             0.83965,             0.43149,            0.037046,             0.01634,           0.0068148,           0.0082675,           0.0082675,           0.0082675
                  37,            0.030232,            0.012155,            0.003215,             0.74399,             0.75996,             0.81352,             0.43969,            0.034762,             0.01649,           0.0090452,            0.008218,            0.008218,            0.008218
                  38,            0.029533,            0.012974,           0.0031381,             0.82195,             0.77672,             0.86823,             0.45864,             0.04091,            0.015271,           0.0088452,           0.0081685,           0.0081685,           0.0081685
                  39,            0.030757,            0.012253,           0.0035949,             0.80695,             0.80024,             0.85778,             0.53774,            0.029746,            0.014097,           0.0087275,            0.008119,            0.008119,            0.008119
                  40,            0.027129,            0.012051,           0.0030649,             0.79689,             0.75758,             0.79995,             0.46595,            0.032166,            0.014392,           0.0092681,           0.0080695,           0.0080695,           0.0080695
                  41,            0.031403,            0.012055,           0.0030149,             0.92727,             0.76986,             0.83758,             0.46458,            0.033489,            0.015758,           0.0082539,             0.00802,             0.00802,             0.00802
                  42,            0.029543,            0.012183,           0.0027728,             0.88302,             0.80988,             0.86157,             0.49971,            0.031961,            0.015286,           0.0061688,           0.0079705,           0.0079705,           0.0079705
                  43,            0.027594,            0.011871,           0.0030249,             0.86029,             0.74931,               0.882,              0.5219,            0.033177,            0.014882,           0.0081363,            0.007921,            0.007921,            0.007921
                  44,            0.027539,            0.012037,           0.0027279,             0.76667,             0.83637,             0.85275,             0.50849,            0.031726,            0.014986,            0.010122,           0.0078715,           0.0078715,           0.0078715
                  45,            0.026149,            0.011591,           0.0025239,             0.83201,             0.83751,             0.87462,             0.47221,            0.033678,            0.015462,            0.010445,            0.007822,            0.007822,            0.007822
                  46,            0.027022,            0.012273,           0.0026771,             0.86132,             0.77979,             0.89106,             0.50464,            0.032743,            0.014666,            0.008816,           0.0077725,           0.0077725,           0.0077725
                  47,             0.02681,            0.011813,           0.0029225,             0.87855,             0.76897,             0.88061,             0.44419,            0.035931,            0.014771,           0.0070427,            0.007723,            0.007723,            0.007723
                  48,            0.029775,            0.012615,           0.0025585,              0.8961,             0.84548,             0.91428,             0.46842,            0.029517,            0.014298,           0.0053067,           0.0076735,           0.0076735,           0.0076735
                  49,            0.027978,            0.012509,           0.0028679,             0.91422,             0.80424,             0.88159,              0.5042,            0.032471,            0.014925,           0.0060336,            0.007624,            0.007624,            0.007624
                  50,            0.027643,            0.011411,           0.0023072,             0.95626,             0.82232,             0.87574,             0.48171,            0.030847,            0.014601,           0.0068138,           0.0075745,           0.0075745,           0.0075745
                  51,            0.025833,            0.011963,           0.0024766,             0.86281,             0.83171,             0.87338,             0.52795,              0.0294,            0.014456,           0.0075982,            0.007525,            0.007525,            0.007525
                  52,            0.025469,            0.011418,           0.0021939,              0.8382,             0.82651,             0.90519,             0.51654,            0.032172,            0.015088,           0.0070306,           0.0074755,           0.0074755,           0.0074755
                  53,            0.026443,            0.011758,           0.0022481,             0.79429,             0.78535,             0.76168,             0.42807,            0.032039,            0.015596,           0.0075438,            0.007426,            0.007426,            0.007426
                  54,             0.02647,            0.011367,           0.0020095,             0.90704,             0.82858,             0.89237,              0.5093,            0.032425,            0.015878,           0.0068803,           0.0073765,           0.0073765,           0.0073765
                  55,            0.027439,            0.011481,            0.002479,             0.96837,             0.81774,              0.9141,             0.55064,            0.032732,            0.015396,           0.0058422,            0.007327,            0.007327,            0.007327
                  56,            0.025742,            0.011328,           0.0022274,             0.82267,             0.93771,             0.94402,             0.53755,            0.029948,             0.01542,           0.0062118,           0.0072775,           0.0072775,           0.0072775
                  57,             0.02433,            0.011148,           0.0018282,             0.94784,             0.80287,             0.89754,             0.52057,            0.031829,            0.015594,           0.0048036,            0.007228,            0.007228,            0.007228
                  58,            0.025453,             0.01079,             0.00246,             0.92492,             0.81313,              0.9072,             0.51195,            0.029996,            0.015611,           0.0052428,           0.0071785,           0.0071785,           0.0071785
                  59,            0.024344,            0.010774,           0.0016697,              0.9495,             0.84705,             0.92857,             0.58721,            0.032333,            0.015532,           0.0070732,            0.007129,            0.007129,            0.007129
                  60,            0.024878,            0.011302,           0.0021005,             0.94929,             0.84604,             0.91802,             0.50906,            0.034939,            0.016587,           0.0074249,           0.0070795,           0.0070795,           0.0070795
                  61,            0.024994,            0.010956,           0.0018815,             0.89703,             0.81184,             0.87103,             0.49658,            0.030958,            0.015491,           0.0081013,             0.00703,             0.00703,             0.00703
                  62,            0.023619,            0.010703,           0.0021789,             0.80507,             0.83903,             0.85623,             0.50568,            0.030856,             0.01532,           0.0073059,           0.0069805,           0.0069805,           0.0069805
                  63,            0.022703,            0.010387,           0.0025363,             0.89155,             0.78949,             0.89109,             0.48595,            0.031956,            0.016311,            0.004914,            0.006931,            0.006931,            0.006931
                  64,            0.023058,            0.010269,           0.0020199,             0.92716,             0.78366,              0.9088,             0.48451,            0.033448,             0.01714,           0.0058601,           0.0068815,           0.0068815,           0.0068815
                  65,             0.02291,            0.010624,           0.0018637,             0.92654,             0.80134,             0.92867,             0.50704,             0.03008,            0.016193,           0.0061354,            0.006832,            0.006832,            0.006832
                  66,             0.02376,             0.01079,           0.0019181,             0.90342,             0.78488,             0.93071,             0.46868,            0.031799,            0.015751,           0.0072111,           0.0067825,           0.0067825,           0.0067825
                  67,            0.022863,            0.010898,           0.0021465,             0.89246,             0.84855,             0.93947,             0.51784,            0.034189,            0.016595,            0.006847,            0.006733,            0.006733,            0.006733
                  68,            0.024414,            0.010424,           0.0020239,             0.92595,             0.89983,             0.92821,             0.51122,            0.032767,              0.0175,           0.0052927,           0.0066835,           0.0066835,           0.0066835
                  69,             0.02371,            0.010653,           0.0017425,             0.93899,             0.89762,             0.94803,              0.5254,            0.029596,            0.017061,           0.0040985,            0.006634,            0.006634,            0.006634
                  70,            0.020655,            0.010473,           0.0015534,             0.91286,             0.88384,             0.96309,             0.53855,            0.030371,            0.016577,           0.0039752,           0.0065845,           0.0065845,           0.0065845
                  71,            0.023196,            0.010519,           0.0019004,             0.96914,             0.87889,             0.95822,             0.55162,            0.029544,            0.016139,           0.0038942,            0.006535,            0.006535,            0.006535
                  72,            0.021677,            0.010036,           0.0017667,             0.94991,             0.88973,              0.9623,             0.47434,            0.028947,            0.016395,           0.0050799,           0.0064855,           0.0064855,           0.0064855
                  73,            0.020836,           0.0097668,           0.0020445,             0.96661,             0.89646,             0.95893,             0.52979,            0.028591,            0.016094,           0.0056382,            0.006436,            0.006436,            0.006436
                  74,            0.021335,            0.010636,           0.0017759,             0.88096,             0.91421,             0.94812,             0.52504,            0.029759,            0.015879,           0.0057093,           0.0063865,           0.0063865,           0.0063865
                  75,            0.022625,            0.010239,           0.0017493,             0.89826,             0.91544,              0.9547,             0.50599,            0.031471,            0.016265,            0.005109,            0.006337,            0.006337,            0.006337
                  76,            0.023438,            0.010716,           0.0017916,             0.84854,             0.90083,             0.94082,             0.52651,            0.029044,              0.0161,           0.0078665,           0.0062875,           0.0062875,           0.0062875
                  77,            0.022513,           0.0098058,           0.0019014,             0.77708,             0.83848,             0.86444,             0.47868,            0.030269,            0.016243,            0.010264,            0.006238,            0.006238,            0.006238
                  78,            0.021573,            0.010521,           0.0016746,             0.69924,             0.84091,             0.89395,             0.48335,            0.028835,            0.015492,            0.010596,           0.0061885,           0.0061885,           0.0061885
                  79,            0.023329,            0.010011,           0.0019663,             0.89018,             0.71422,              0.8805,             0.52104,            0.029427,            0.015931,           0.0088298,            0.006139,            0.006139,            0.006139
                  80,            0.022213,            0.010158,           0.0014863,              0.7911,             0.79074,             0.89619,             0.51568,            0.030146,            0.016963,           0.0064822,           0.0060895,           0.0060895,           0.0060895
                  81,            0.022338,            0.009782,           0.0019267,             0.87228,             0.84113,             0.92435,             0.54585,            0.029945,            0.016392,           0.0059733,             0.00604,             0.00604,             0.00604
                  82,            0.020087,           0.0099745,           0.0014294,             0.94246,             0.81313,             0.90956,             0.53362,            0.031594,            0.016627,           0.0072721,           0.0059905,           0.0059905,           0.0059905
                  83,            0.022577,            0.010059,           0.0015297,             0.93629,             0.77938,             0.91317,              0.5289,            0.031278,            0.016923,           0.0076595,            0.005941,            0.005941,            0.005941
                  84,            0.021639,           0.0092181,           0.0016668,             0.97828,             0.77949,             0.88173,             0.51453,            0.032366,            0.017538,           0.0083798,           0.0058915,           0.0058915,           0.0058915
                  85,            0.020889,            0.010349,           0.0014201,             0.87886,              0.8411,             0.89935,             0.52528,            0.029977,            0.016916,           0.0069899,            0.005842,            0.005842,            0.005842
                  86,            0.020527,           0.0098085,           0.0016837,              0.8341,             0.84532,             0.90837,             0.55946,            0.028722,            0.016405,           0.0070878,           0.0057925,           0.0057925,           0.0057925
                  87,            0.019609,           0.0095108,           0.0015845,             0.92513,             0.83528,             0.90755,               0.529,            0.028634,            0.016591,           0.0068184,            0.005743,            0.005743,            0.005743
                  88,            0.019259,           0.0095757,           0.0011125,             0.92758,             0.84108,             0.90432,             0.52762,            0.029574,             0.01707,           0.0073279,           0.0056935,           0.0056935,           0.0056935
                  89,             0.01946,            0.009147,           0.0016195,             0.92395,             0.84313,             0.91251,             0.51621,            0.030079,            0.017479,           0.0067989,            0.005644,            0.005644,            0.005644
                  90,            0.018942,           0.0093171,           0.0013475,             0.92006,              0.8314,             0.93061,             0.53243,            0.032412,            0.017283,           0.0061297,           0.0055945,           0.0055945,           0.0055945
                  91,            0.022017,           0.0095617,           0.0020552,             0.87335,              0.9081,              0.9519,             0.58573,            0.030393,            0.016578,           0.0065241,            0.005545,            0.005545,            0.005545
                  92,            0.019315,           0.0094779,           0.0014185,             0.83037,              0.9129,             0.95084,             0.56105,            0.028152,            0.016052,           0.0075661,           0.0054955,           0.0054955,           0.0054955
                  93,            0.019415,           0.0093477,           0.0012125,              0.8295,             0.87177,             0.95404,             0.56859,            0.027849,            0.015905,           0.0086886,            0.005446,            0.005446,            0.005446
                  94,            0.019465,              0.0101,           0.0014383,             0.83991,             0.95113,             0.93272,             0.55475,            0.028418,            0.016224,           0.0071072,           0.0053965,           0.0053965,           0.0053965
